391_11,11.0,220.95,24.97,325.0,303.0,34.41,64.72,475429418,476034218,2.31,97.0,120.0,11.0,1.46671104431,5.31359195709,97.74,1.0,none,3FGL J1443.9+2502,PKS 1441+25,29.15,5.4,220.98,25.12,34.76,64.72,0.551,1.0,97.76,3.45,2.54,0.01,29.72,12.64,4.193,-1.83,0.44,45.66,6.76,220.96,25.14,34.82,64.74,0.135,1.0,97.78,1.35,3.17,0.03,0.04,-42.0,-42.0,-42.0,-42.0,-42.0,220.96,25.14,0.135,high,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_12,12.0,346.62,34.94,179.0,129.0,99.71,-23.16,475429418,476034218,-4.61,118.03,71.0,2.0,1.50060212612,0.873099863529,62.76,1.0,none,3FGL J2311.0+3425,B2 2308+34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,346.62,34.94,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_13,13.0,128.26,70.64,131.0,260.0,144.07,33.83,475429418,476034218,7.65,166.62,274.0,1.0,1.5149923563,0.132789701223,127.39,1.0,none,3FGL J0841.4+7053,S5 0836+71,89.91,9.48,129.24,70.7,143.89,34.13,0.284,1.0,127.35,3.15,7.84,0.18,93.97,30.05,4.898,-2.4,0.25,9.94,3.15,130.09,70.86,143.62,34.35,0.179,1.0,127.2,0.95,1.77,0.0,0.32,10.0,0.225,0.253,-1.63,0.78,129.24,70.7,0.284,low,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_14,14.0,296.73,66.52,177.0,222.0,98.71,19.46,475429418,476034218,4.83,173.29,240.0,1.0,2.11432743073,-0.316149950027,85.27,1.0,none,None,None,19.01,4.36,297.7,65.19,97.6,18.56,1.082,1.0,83.89,2.4,3.58,0.0,19.32,18.44,5.141,-3.43,0.52,9.05,3.01,298.37,67.85,100.27,19.43,0.329,-1.0,86.43,0.05,0.39,0.0,2.67,9.09,0.489,0.322,-2.6,0.95,296.73,66.52,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_15,15.0,280.85,-58.19,402.0,136.0,337.49,-21.78,475429418,476034218,4.52,209.81,278.0,4.0,2.1248793602,1.51708436012,45.91,1.0,none,3FGL J1842.3-5841,1RXS J184230.6-584202,19.91,4.46,276.52,-58.38,336.53,-19.68,0.862,1.0,47.63,1.35,3.48,0.0,-42.0,-42.0,-42.0,-42.0,-42.0,11.66,3.41,278.81,-56.93,338.42,-20.35,0.317,-1.0,45.75,0.05,0.58,0.0,1.9,12.7,0.093,0.094,-0.24,0.91,280.85,-58.19,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_16,16.0,226.78,-36.05,414.0,218.0,331.47,19.19,475429418,476034218,-4.47,226.57,162.0,2.0,2.1506793499,0.347697287798,75.1,1.0,none,3FGL J1507.6-3710,NVSS J150720-370903,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,226.78,-36.05,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_17,17.0,260.42,17.94,287.0,235.0,39.97,27.62,475429418,476034218,2.16,145.86,172.0,19.0,2.26387691498,7.10573673248,61.55,1.0,none,3FGL J1719.2+1744,PKS 1717+177,29.37,5.42,259.66,17.74,39.46,28.22,0.571,1.0,62.05,2.85,3.08,0.01,29.58,15.35,5.027,-1.78,0.43,44.84,6.7,259.86,17.75,39.55,28.04,0.158,1.0,61.9,1.05,6.56,0.04,0.19,45.17,2.427,0.627,-2.35,0.33,259.86,17.75,0.158,high,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_18,18.0,343.92,-27.64,334.0,57.0,25.05,-64.36,475429418,476034218,-4.14,115.13,73.0,1.0,2.38355350494,-0.490078955889,31.52,1.0,none,3FGL J2258.0-2759,PKS 2255-282,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,343.92,-27.64,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_19,19.0,261.32,-77.48,443.0,135.0,315.49,-21.98,475429418,476034218,2.87,165.43,203.0,16.0,2.57739686966,5.8516831398,64.19,1.0,none,3FGL J1723.7-7713,PKS 1716-771,13.54,3.68,262.79,-76.81,316.3,-21.98,0.871,1.0,63.52,2.85,3.66,0.0,13.93,15.22,5.55,-2.93,0.71,36.73,6.06,260.76,-77.22,315.68,-21.75,0.243,1.0,64.14,1.25,5.76,0.04,0.62,36.89,2.461,0.685,-2.73,0.43,261.32,-77.48,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_20,20.0,305.89,-6.92,290.0,132.0,37.31,-23.62,475429418,476034218,4.53,160.02,220.0,3.0,2.78059196472,0.513651967049,12.29,1.0,none,3FGL J2025.6-0736,PKS 2023-07,17.49,4.18,306.37,-7.66,36.82,-24.37,0.778,1.0,11.42,2.85,3.84,0.0,18.05,16.43,5.233,-2.11,0.45,7.6,2.76,303.99,-7.62,35.72,-22.24,0.441,-1.0,12.59,0.0,2.96,0.0,2.36,8.81,0.61,0.345,-5.0,0.26,305.89,-6.92,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
